,title,hits
150,IVE (아이브) - I AM | Show! MusicCore | MBC230415방송,2682117
458,"[리무진서비스] EP.26 아이브 레이 | IVE REI | Love Dive, 좋아, 11:11, Boat",2671725
279,라이브 레전드 찍은 아이브 I AM 앵콜 #IVE #MPD직캠 #shorts,2668032
132,IVE - I AM | 아이브 - 아이엠 [THE SHOW 230418],2652315
335,IVE만 믿으면 돼 💕 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,2630815
241,IVE(아이브) - I AM | Singing Duet Challenge 🎤 | Sing with me #shorts,2624960
386,Yah~ 모두 주목해! 👖💎 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,2615472
22,IVE(아이브) - I AM @인기가요 inkigayo 20230423,2582824
493,아이브만 좋아하면 뭐 어때 huh 👓🎶 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,2578275
357,초3이 혼자 연습한 IVE 아이브 'I AM' #shorts,2573171
460,아이브 'Kitsch' [1분 요약],2549758
303,[아이브/장원영] 무려 본인도 인정함,2509767
71,02. I AM,2491782
550,[입덕직캠] 아이브 장원영 직캠 4K 'LOVE DIVE' (IVE WONYOUNG FanCam) | @MCOUNTDOWN_2022.4.7,2465534
459,아이브(IVE) “IAM” 미쳐버린 연필드로잉,2458303
130,IVE(아이브) - After LIKE | Show! MusicCore | MBC220827방송,2404385
117,I AM - IVE 아이브 뮤비 우당탕 촬영기,2360677
244,[아이브 레이] I AM 안무 수정 전후,2358461
473,읽씹하고 하는 말 (♬Kitsch 키치) [아이브 리즈],2311175
33,IVE (아이브) - I AM (1 HOUR LOOP) Lyrics | 1시간 가사,2288863
202,[MPD직캠] 아이브 직캠 8K 'I AM' (IVE FanCam) | @MCOUNTDOWN_2023.4.13,2146024
287,제일 좋은 어느 날의 연세대💙🤍🩵 #IVE #아이브#IAM #아이엠 #연세대학교 #아카라카 #Shorts,2124723
13,제주도 수학여행 기념으로 우리끼리 인생네컷 찍었다 | IVE_I AM | 아이브 | 네컷라이브 | 4Cut Live,2091024
145,"[2022 MBC 방송연예대상] 아이브의 축하공연 ＜♬ LOVE DIVE + After LIKE＞, MBC 221229 방송",2071183
107,MZ식 양보 [아이브 안유진] in 지구오락실,2048862
300,베니의 아이브(IVE) - 아이엠(I AM) cover by Benny the Cat #shorts,1964253
96,Lips (Lips),1901843
211,[MIRRORED] 4K IVE (아이브) - 'ELEVEN (일레븐)' Dance Practice (안무연습 거울모드),1887030
176,IVE 아이브 'I AM' challenge mom ver. (43 years old) 엄마 버전 아이엠 챌린지 하는데 아들 난입 ㅋㅣ토깽이네,1845568
280,IVE 아이브 'I AM' 더빙 #shorts,1827876
353,아이브 라이브 잘한다니까,1827591
231,아이브 I AM 몇배속까지 가능?! 4배속으로 내 소개를 해주지 #shorts #iamchallenge,1779451
85,"Shall We ""Kitsch""❓ #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts",1774193
83,"아이브 가을, 레이 최애의 아이 챌린지",1761995
159,런닝맨 아이브(IVE) 하이라이트 #런닝맨 #RunningMan | SBSNOW,1753422
427,[아이브] 누가 막내인지..,1710569
373,"IVE(아이브) - 'I AM' 라이브 영상 멤버별 발성타입 분석(리즈, 안유진)",1698130
305,IVE – I AM(아이브 - 아이엠) 여키도전 #shorts,1691609
