,title,hits
416,뉴진스 멤버 얼굴 다 합치면 나오는 실제 얼굴A face that combines the faces of the New Jeans members#shorts,3657352
181,[Full Album] NewJeans (뉴진스) 1st EP 'New Jeans',3628146
166,Attention - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220805 방송,3560804
35,"뉴진스, ‘INTRO + ETA & Super Shy’ 축하공연 [제44회 청룡영화상 시상식] | KBS 231124 방송",3541696
374,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.3),3494532
177,NewJeans (뉴진스) 'Hype Boy (하입보이)' 가사 (Color Coded Lyrics),3479950
393,NewJeans (뉴진스) 'Hype Boy' Official MV (Intro),3478255
464,OMG 뮤비 충격씬 #뉴진스 #대박,3437030
290,"220921 NewJeans (뉴진스) Full Ver. ""Attention, Cookie, Hurt, Hype Boy"" 직캠(Fancam) [4K 60p] @단국대학교 축제",3432262
370,[뉴진스 해린] 작품 : 자꾸 얘가 쳐다봐요...,3355574
259,[2022 가요대전 4K] 뉴진스 'Intro + Tell Me(원더걸스)' (NewJeans FullCam)│@SBS Gayo Daejeon 221224,3350080
244,뉴진스_어텐션_댓글모음,3341977
236,[맥도날드x뉴진스] 뉴진스와 함께 Chicken Dance!,3333822
551,뉴진스를 학부모들이 부담스러워하는 이유,3283125
154,NewJeans(뉴진스) - New Jeans @인기가요 inkigayo 20230716,3266278
262,[뉴진스] 다니엘의 극락말투.. 무해하다 무해해,3227774
398,[김완선TV] 김완선 하입보이 안무 (뉴진스 하입보이) #NewJeans #김완선 #뉴진스 #하입보이안무 #Hypeboy,3220500
302,[TJ노래방] Hype boy - NewJeans / TJ Karaoke,3205496
72,[ENG SUB] 기분이 나쁠 땐? 뉴진스를 보세요😉👈🏻 | 아이돌 인간극장,3196380
152,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Ditto' 4K Bonus Ver. @뮤직뱅크(Music Bank) 230120,3195857
419,(Full Focused) NewJeans(뉴진스) 'Attention' 4K | BE ORIGINAL,3098940
125,데뷔 9개월 만에 모든 멤버가 명품 앰버서더가 된 뉴진스 #shorts,3083859
387,[뉴진스] #민지 야이거진짜 처음으로 쐬주마셔본 슴살짜리로 보여서 정신놓음.,3083054
212,[뉴진스] 두번은 당하지 않는 하니,3076283
347,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'New Jeans' 4K Bonus Ver. @뮤직뱅크(Music Bank) 230714,3051374
455,너무 멋있는 옷을 입고 그날💔Heard him say😠#NewJeans #뉴진스#NewJeans_ETA #NewJeans_GetUp#Time_to_NewJeans,3040704
413,김민지: 뉴진스의 하입보이요,2990341
86,욕 먹을거 각오하고 올리는 뉴진스 더 현대 블랙 코디.. #shorts,2983074
664,Can 4 Guys Beat 1 Climbing Champion?,2981057
537,파워퍼프걸로 꾸민 뉴진스 무대 : NewJeans - New Jeans : 뮤직뱅크,2932242
448,[EyeContact Ver.👀]뉴진스(NewJeans) _ OMG | 1theKILLPO | 원더킬포 | 아이컨택 | Facecam | 4K | 민지 하니 다니엘 해린 혜인,2929688
266,NewJeans(뉴진스) - ETA @인기가요 inkigayo 20230723,2908118
458,왜 쳐다봐 강해륀👁_👁 #NewJeans #뉴진스 #HAERIN #MINJI#Year_of_NewJeans #LeeumMuseumofArt,2900451
116,NewJeans (뉴진스) 'Cookie' (쿠키) (교차편집 Stage Mix),2898999
167,[ENG/JP] 뉴진스 민지 못하는게 뭔지? feat. Ditto 최초 공개 ⚡아이돌 출발 드림팀⚡ [EP.5-1] | Idol's Physical Race | NewJeans,2898422
431,[뉴진스] 모지혜 과거 ㄹㅇ 갓기천사임..,2893976
394,NewJeans (뉴진스) 'Hype Boy' 댄스 연습 (ver.2),2833711
523,[뉴진스] 하니 입덕의 순간은 언제?,2795577
360,[뉴진스] 오히려 좋은 멍뭉한 말투 #뉴진스 #newjeans #민지,2790134
269,[입덕직캠] 뉴진스 하니 직캠 4K 'Hype Boy' (NewJeans HANNI FanCam) | @MCOUNTDOWN_2022.8.4,2753350
180,박재범 (Jay Park) - ‘Why’ with #뉴진스 #하니 #NewJeans #HANNI @NewJeans_official #JayPark_Why #WhyChallenge,2749609
672,Best Arms in Dubai? Do Cameroon Men Have the Best Genetics for Bodybuilding and Strength?,2746384
388,NewJeans (뉴진스) 'Hype Boy' Dance Practice (ver.3),2739147
192,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Ditto' 4K Bonus Ver. @뮤직뱅크(Music Bank) 230127,2717686
118,Ditto - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230120 방송,2691571
82,NewJeans(뉴진스) - Hype Boy @인기가요 inkigayo 20220821,2689734
283,[뉴진스] 민지의 최애 직캠을 골라보세요,2678641
528,현재 미국인들이 뉴진스에 환장하는 이유,2666104
245,NewJeans (뉴진스) 'Ditto' Dance Clip,2658914
199,[뉴진스] 극한직업 김민지,2645828
326,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'OMG' 4K Bonus Ver. @뮤직뱅크(Music Bank) 230120,2641621
28,ETA - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230721 방송,2635299
121,Intro + Attention + Hype boy - NewJeans (뉴진스 ニュージーンズ) [2022 KBS Song Festival] | KBS WORLD TV 221216,2634130
340,[뉴진스] 개웃긴 민지 말투ㅋㅋㅋㅋㅋ #shorts,2619847
471,여돌 역대급 방송사고(feat.뉴진스),2618534
519,이쯤에서 다시보는 뉴진스의 시작 Attention,2606186
191,[4K] NewJeans(뉴진스) “Cool With You” Band LIVE Concert 믿고 보는 뉴진스의 밴드라이브🐰 [it’s KPOP LIVE 잇츠라이브],2584831
397,[뉴진스] 타격감 좋은 하니 놀리기는 못참지,2576219
103,NewJeans (뉴진스) 'OMG' (교차편집 Stage Mix),2566311
335,[뉴진스] 동생 잘 챙겨주는 김민지,2551562
356,"New Jeans (뉴진스) - ""Hype Boy"" AKARAKA (아카라카) [Close Up]",2520070
294,[NewJeans - Cookie] Hot Debut Stage | #엠카운트다운 EP.764 | Mnet 220804 방송,2490549
373,'재진스' | 뉴진스 재즈 플리 pt.II [playlist],2490340
162,[뉴진스] 빵터진 하니와 영원히 고통받는 민지,2473776
213,2023년 01월 02일 2부 | [ENG] 뉴진스 초대석 (with 주우재),2462170
332,뉴진스 - Ditto (1시간) / 가사 Lyrics,2418277
106,뉴진스 역대 발매곡 슈퍼리믹스 (Full Ver.),2417975
286,NewJeans (뉴진스) 'Attention' (교차편집 Stage Mix),2347961
456,[여기서요?] 뉴진스 NewJeans - Attention | 커버댄스 Dance Cover @동성로,2326112
155,ETA freestyle 🍄 #NewJeans #뉴진스#NewJeans_NJWMX #NewJeans_of_Winter #NewJeans_ETA #Year_of_NewJeans,2318823
508,[EN/JP] 민희진의 걸그룹 안무가 어때(EO-DDAE)의 블랙큐 두둥 등장(ft.뉴진스 NewJeans) #스트릿맨파이터,2317985
367,NewJeans (뉴진스) - Hype Boy 「Official Audio」,2316492
540,[어바웃진즈] 시카고 쇼핑 데이 👛 | 뉴진즈,2303913
151,[르세라핌] 뉴진스와 같이 연습했던 르세라핌 멤버,2302105
473,Newjeans(뉴진스) 하니 X Colde(콜드) - '와르르♥' | Newjeans HANNI X Colde - 'WA-R-R',2295491
337,[뉴진스] 다니엘의 지리는 경험ㅋㅋ,2274887
254,NewJeans (뉴진스) 'OMG' Performance Video (Fix ver.),2270222
178,[K-Choreo 8K] 뉴진스 직캠 'Hype Boy' (NewJeans Choreography) l @MusicBank 220812,2261908
338,[뉴진스] 다니엘을 화나게 하면 안되는 이유,2242413
272,[뉴진스] 민지 T의 단호함에 당황하는 하니,2208312
148,[뉴진스] 갓 일어난 얼굴 실화냐,2199789
425,[앵콜캠4K] 뉴진스 'OMG' 인기가요 1위 앵콜 직캠 (NewJeans Encore Fancam)│@SBS Inkigayo 230115,2196825
233,Ditto – 250 Remix,2183439
6,NewJeans (뉴진스) New Year’s Rockin’ Eve 2024 (ETA+Super Shy),2169999
535,"NewJeans 뉴진스 2022 MMA (Cookie + Hype boy + Attention) Stage Reaction ( IVE, STAYC, ATBO, 임영웅, 멜로망스)",2168960
77,"2023년은 토끼해라던데!?🐰 Attention부터 Hype boy, Hurt까지 뉴진스 모든 무대 몰아보기 | NewJeans Stage Compilation",2161909
179,NewJeans (뉴진스) 'INTRO+OMG' Stage Cam @ 2023 Weverse Con Festival,2139219
511,누진..누진세...??,2128597
396,[뉴진스] 그 어려운 걸 해낸 파리 소녀들,2128365
288,[페이스캠4K] 뉴진스 해린 'Cookie' (NewJeans HAERIN FaceCam) @SBS Inkigayo 220807,2121188
492,[성형외과 의사가 분석한 7탄] 뉴진스 민지 얼굴,2109897
227,NewJeans (뉴진스) ‘We Are NewJeans’,2091672
489,코 바꿨더니 뉴진스 해린 느낌 #shorts,2068211
542,[안방1열 직캠4K] 뉴진스 하니 'Cookie' (NewJeans HANNI FanCam) @SBS Inkigayo 220807,2057529
268,NewJeans (뉴진스) 'ASAP' Dance Practice,2050367
504,NewJeans (뉴진스) 'Ditto' Performance Video (HAERIN ver.),2042456
520,[MPD직캠] 뉴진스 하니 직캠 4K 'Hype Boy' (NewJeans HANNI FanCam) | @MCOUNTDOWN_2022.8.4,2007390
304,[얼빡직캠 4K] 뉴진스 민지 'Hype Boy' (NewJeans MINJI Facecam) @뮤직뱅크(Music Bank) 220812,1991466
438,[안방1열 풀캠4K] 뉴진스 'Cookie' (NewJeans FullCam)│@SBS Inkigayo 220807,1984210
466,OMG - 뉴진스(NewJeans) Acoustic cover,1974919
54,이제 각방쓰는 뉴진스! 언니 민지와 막내 혜인 반응 비교 ㅋㅋㅋ #뉴진스 #숙소 #민지 #혜인,1969788
678,22일이면 근육이 더 커집니다(보장!),1961281
544,뉴진스 팬싸 현장,1955217
99,NewJeans Hurt Lyrics (뉴진스 Hurt 가사) (Color Coded Lyrics),1938812
